127.0.0.1 - - [05/Jan/2021:10:56:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:56:37 +0530] "GET /BankApplication/ HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:56:54 +0530] "GET /BankApplication/login HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:57:14 +0530] "POST /BankApplication/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:57:14 +0530] "GET /BankApplication/home HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:57:51 +0530] "GET /BankApplication/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:10:57:51 +0530] "GET /BankApplication/login HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:03:28 +0530] "POST /BankApplication/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:03:28 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:03:33 +0530] "GET /BankApplication/showaccounts HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:03:43 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:03:49 +0530] "GET /BankApplication/deposit HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:04:30 +0530] "GET /BankApplication/showaccounts HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:05:17 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:05:19 +0530] "GET /BankApplication/transfer HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:06:28 +0530] "GET /BankApplication/showallusers HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:06:43 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:06:46 +0530] "GET /BankApplication/addusers HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:07:00 +0530] "GET /BankApplication/addusers HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:07:22 +0530] "GET /BankApplication/showaccounts HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:08:11 +0530] "GET /BankApplication/updateaccount?id=17 HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:08:51 +0530] "POST /BankApplication/updateaccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:08:51 +0530] "GET /BankApplication/home?accounttypes=SAVING&accounttypes=CURRENT HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:08:53 +0530] "GET /BankApplication/showaccounts HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:09:25 +0530] "GET /BankApplication/updateaccount?id=17 HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:09:43 +0530] "POST /BankApplication/updateaccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:09:43 +0530] "GET /BankApplication/home?accounttypes=SAVING&accounttypes=CURRENT HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:09:45 +0530] "GET /BankApplication/showaccounts HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:11:26 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:11:31 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:11:32 +0530] "GET /BankApplication/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:11:32 +0530] "GET /BankApplication/login HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:12:09 +0530] "POST /BankApplication/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:12:09 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:12:19 +0530] "GET /BankApplication/home1 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:12:27 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:12:46 +0530] "GET /BankApplication/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:12:46 +0530] "GET /BankApplication/login HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:12:54 +0530] "POST /BankApplication/login HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:13:02 +0530] "GET /BankApplication/home HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:13:13 +0530] "GET /BankApplication/home HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:13:24 +0530] "POST /BankApplication/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:13:24 +0530] "GET /BankApplication/home HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:16:40 +0530] "GET /BankApplication/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:16:41 +0530] "GET /BankApplication/login HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [05/Jan/2021:11:16:49 +0530] "POST /BankApplication/login HTTP/1.1" 302 -
